지역_위치별(주유소),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,한길주유소 금사점 한솔유화㈜,부산 금정구 반송로 420 (금사동),HD현대오일뱅크,051-524-6642,Y,1897,1549,1419,-
부산광역시,은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),GS칼텍스,051-508-1645,Y,1849,1575,1437,1350
부산광역시,훼미리알뜰주유소,부산 금정구 두실로 2,알뜰주유소,051-582-5882,Y,-,1575,1437,-
부산광역시,청룡명품주유소,부산 금정구 중앙대로 2130,HD현대오일뱅크,051-508-5150,Y,-,1575,1437,-
부산광역시,금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),알뜰주유소,051-583-6433,Y,-,1587,1457,-
부산광역시,금강주유소,부산 금정구 중앙대로 1972,SK에너지,051-581-8551,N,-,1589,1455,-
부산광역시,한길주유소 부산점 한솔유화㈜,부산 금정구 중앙대로 1646,HD현대오일뱅크,051-581-0875,Y,-,1597,1467,-
부산광역시,신화주유소,부산 금정구 금강로 721,HD현대오일뱅크,051-515-1997,Y,-,1618,1488,1450
부산광역시,동진주유소,"부산 금정구 금정로 216,  (구서동)",SK에너지,051-515-5007,Y,1849,1619,1479,-
부산광역시,에이원주유소,부산 금정구 반송로 364 (서동),SK에너지,051-532-5157,Y,-,1625,1395,-
부산광역시,비케이원㈜ 대박드림주유소,부산 금정구 중앙대로 1597,HD현대오일뱅크,051-518-6777,Y,1849,1629,1499,-
부산광역시,금정산주유소,부산 금정구 금샘로 399 (구서동),SK에너지,051-517-5472,N,1897,1637,1497,1400
부산광역시,식물원주유소,부산 금정구 금샘로 21 (장전동),S-OIL,051-515-5189,N,-,1685,1565,1450
부산광역시,동양주유소,부산 금정구  반송로 391 (서동),HD현대오일뱅크,051-523-1214,Y,-,1687,1567,1500
부산광역시,새석대주유소,부산 금정구 반송로 463 (금사동),S-OIL,051-527-5142,N,1857,1697,1577,-
부산광역시,남산주유소,부산 금정구 중앙대로 2044 (남산동),S-OIL,051-517-5149,Y,1958,1698,1568,-
부산광역시,지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),GS칼텍스,051-512-3301,Y,1929,1709,1579,1400
