"시점","행정구역별(1)",출생아수(명)
"2015","서울특별시",83005
"2015","부산광역시",26645
"2015","대구광역시",19438
"2015","인천광역시",25491
"2015","광주광역시",12441
"2015","대전광역시",13774
"2015","울산광역시",11732
"2015","세종특별자치시",2708
"2015","경기도",113495
"2015","강원특별자치도",10929
"2015","충청북도",13563
"2015","충청남도",18604
"2015","전북특별자치도",14087
"2015","전라남도",15061
"2015","경상북도",22310
"2015","경상남도",29537
"2015","제주특별자치도",5600
"2016","서울특별시",75536
"2016","부산광역시",24906
"2016","대구광역시",18298
"2016","인천광역시",23609
"2016","광주광역시",11580
"2016","대전광역시",12436
"2016","울산광역시",10910
"2016","세종특별자치시",3297
"2016","경기도",105643
"2016","강원특별자치도",10058
"2016","충청북도",12742
"2016","충청남도",17302
"2016","전북특별자치도",12698
"2016","전라남도",13980
"2016","경상북도",20616
"2016","경상남도",27138
"2016","제주특별자치도",5494
"2017","서울특별시",65389
"2017","부산광역시",21480
"2017","대구광역시",15946
"2017","인천광역시",20445
"2017","광주광역시",10120
"2017","대전광역시",10851
"2017","울산광역시",9381
"2017","세종특별자치시",3504
"2017","경기도",94088
"2017","강원특별자치도",8958
"2017","충청북도",11394
"2017","충청남도",15670
"2017","전북특별자치도",11348
"2017","전라남도",12354
"2017","경상북도",17957
"2017","경상남도",23849
"2017","제주특별자치도",5037
"2018","서울특별시",58074
"2018","부산광역시",19152
"2018","대구광역시",14400
"2018","인천광역시",20087
"2018","광주광역시",9105
"2018","대전광역시",9337
"2018","울산광역시",8149
"2018","세종특별자치시",3703
"2018","경기도",88175
"2018","강원특별자치도",8351
"2018","충청북도",10586
"2018","충청남도",14380
"2018","전북특별자치도",10001
"2018","전라남도",11238
"2018","경상북도",16079
"2018","경상남도",21224
"2018","제주특별자치도",4781
"2019","서울특별시",53673
"2019","부산광역시",17049
"2019","대구광역시",13233
"2019","인천광역시",18522
"2019","광주광역시",8364
"2019","대전광역시",8410
"2019","울산광역시",7539
"2019","세종특별자치시",3819
"2019","경기도",83198
"2019","강원특별자치도",8283
"2019","충청북도",9333
"2019","충청남도",13228
"2019","전북특별자치도",8971
"2019","전라남도",10832
"2019","경상북도",14472
"2019","경상남도",19250
"2019","제주특별자치도",4500
"2020","서울특별시",47445
"2020","부산광역시",15058
"2020","대구광역시",11193
"2020","인천광역시",16040
"2020","광주광역시",7318
"2020","대전광역시",7481
"2020","울산광역시",6617
"2020","세종특별자치시",3468
"2020","경기도",77737
"2020","강원특별자치도",7835
"2020","충청북도",8607
"2020","충청남도",11950
"2020","전북특별자치도",8165
"2020","전라남도",9738
"2020","경상북도",12873
"2020","경상남도",16823
"2020","제주특별자치도",3989
"2021","서울특별시",45531
"2021","부산광역시",14446
"2021","대구광역시",10661
"2021","인천광역시",14947
"2021","광주광역시",7956
"2021","대전광역시",7414
"2021","울산광역시",6127
"2021","세종특별자치시",3570
"2021","경기도",76139
"2021","강원특별자치도",7357
"2021","충청북도",8190
"2021","충청남도",10984
"2021","전북특별자치도",7475
"2021","전라남도",8430
"2021","경상북도",12045
"2021","경상남도",15562
"2021","제주특별자치도",3728
"2022","서울특별시",42602
"2022","부산광역시",14134
"2022","대구광역시",10134
"2022","인천광역시",14464
"2022","광주광역시",7446
"2022","대전광역시",7677
"2022","울산광역시",5399
"2022","세종특별자치시",3209
"2022","경기도",75323
"2022","강원특별자치도",7278
"2022","충청북도",7452
"2022","충청남도",10221
"2022","전북특별자치도",7032
"2022","전라남도",7888
"2022","경상북도",11311
"2022","경상남도",14017
"2022","제주특별자치도",3599
"2023","서울특별시",39456
"2023","부산광역시",12866
"2023","대구광역시",9410
"2023","인천광역시",13659
"2023","광주광역시",6172
"2023","대전광역시",7194
"2023","울산광역시",5082
"2023","세종특별자치시",2761
"2023","경기도",68817
"2023","강원특별자치도",6688
"2023","충청북도",7580
"2023","충청남도",9436
"2023","전북특별자치도",6622
"2023","전라남도",7828
"2023","경상북도",10186
"2023","경상남도",13049
"2023","제주특별자치도",3222
"2024 p)","서울특별시",41600
"2024 p)","부산광역시",13100
"2024 p)","대구광역시",10100
"2024 p)","인천광역시",15200
"2024 p)","광주광역시",6000
"2024 p)","대전광역시",7300
"2024 p)","울산광역시",5300
"2024 p)","세종특별자치시",2900
"2024 p)","경기도",71300
"2024 p)","강원특별자치도",6600
"2024 p)","충청북도",7500
"2024 p)","충청남도",9900
"2024 p)","전북특별자치도",6800
"2024 p)","전라남도",8200
"2024 p)","경상북도",10300
"2024 p)","경상남도",13100
"2024 p)","제주특별자치도",3200
